Title,Age Rating,Classified Age Range,Release Year,From Last Decade,Age
T.U.F.F. Puppy,age 8+,05-Aug,2010,No,8
The Avengers: Earth's Mightiest Heroes,age 8+,05-Aug,2010,No,8
Sym-Bionic Titan,age 8+,05-Aug,2010,No,8
GGO Football,age 8+,05-Aug,2010,No,8
Monster High,age 8+,05-Aug,2010,No,8
Kick Buttowski: Suburban Daredevil,age 8+,05-Aug,2010,No,8
Iron Man: Armored Adventures,age 8+,05-Aug,2009,No,8
Beyblade: Metal Fusion,age 8+,05-Aug,2009,No,8
The Amazing Spiez!,age 8+,05-Aug,2009,No,8
Huntik,age 8+,05-Aug,2009,No,8
Batman: The Brave and the Bold,age 8+,05-Aug,2008,No,8
Making Fiends,age 8+,05-Aug,2008,No,8
The Secret Saturdays,age 8+,05-Aug,2008,No,8
Star Wars: The Clone Wars,age 8+,05-Aug,2008,No,8
Three Delivery,age 8+,05-Aug,2008,No,8
Bakugan Battle Brawlers,age 8+,05-Aug,2008,No,8
El Chavo: The Animated Series,age 8+,05-Aug,2008,No,8
Transformers: Animated,age 8+,05-Aug,2007,No,8
Edgar & Ellen,age 8+,05-Aug,2007,No,8
Di-Gata Defenders,age 8+,05-Aug,2007,No,8
Storm Hawks,age 8+,05-Aug,2007,No,8
Pucca,age 8+,05-Aug,2006,No,8
Legend of the Dragon,age 8+,05-Aug,2006,No,8
Codename: Kids Next Door: Operation: Z.E.R.O.,age 8+,05-Aug,2006,No,8
Eon Kid,age 8+,05-Aug,2006,No,8
Wolverine and the X-Men,age 8+,05-Aug,2006,No,8
Kappa Mikey,age 8+,05-Aug,2006,No,8
My Gym Partner's a Monkey,age 8+,05-Aug,2005,No,8
The X's,age 8+,05-Aug,2005,No,8
Robotboy,age 8+,05-Aug,2005,No,8
G.I. Joe: Sigma Six,age 8+,05-Aug,2005,No,8
Transformers: Cybertron,age 8+,05-Aug,2005,No,8
The Life and Times of Juniper Lee,age 8+,05-Aug,2005,No,8
Avatar: The Last Airbender,age 8+,05-Aug,2005,No,8
American Dragon: Jake Long,age 8+,05-Aug,2005,No,8
W.I.T.C.H.,age 8+,05-Aug,2004,No,8
The Batman,age 8+,05-Aug,2004,No,8
Code Lyoko,age 8+,05-Aug,2004,No,8
Danny Phantom,age 8+,05-Aug,2004,No,8
Duel Masters,age 8+,05-Aug,2004,No,8
Corneil and Bernie,age 8+,05-Aug,2004,No,8
Martin Mystery,age 8+,05-Aug,2003,No,8
Silverwing,age 8+,05-Aug,2003,No,8
IGPX,age 8+,05-Aug,2003,No,8
My Life as a Teenage Robot,age 8+,05-Aug,2003,No,8
Teen Titans,age 8+,05-Aug,2003,No,8
Sonic X,age 8+,05-Aug,2003,No,8
Codename: Kids Next Door,age 8+,05-Aug,2002,No,8
Yakkity Yak,age 8+,05-Aug,2002,No,8
Ozzy & Drix,age 8+,05-Aug,2002,No,8
Liberty's Kids,age 8+,05-Aug,2002,No,8
Shinzo,age 8+,05-Aug,2002,No,8
Kim Possible,age 8+,05-Aug,2002,No,8
The Cramp  Twins,age 8+,05-Aug,2002,No,8
Totally Spies,age 8+,05-Aug,2001,No,8
Braceface,age 8+,05-Aug,2001,No,8
Invader Zim,age 8+,05-Aug,2001,No,8
Jackie Chan Adventures,age 8+,05-Aug,2000,No,8
The Avengers,age 8+,05-Aug,1999,No,8
Beast Machines: Transformers,age 8+,05-Aug,1999,No,8
Redwall,age 8+,05-Aug,1999,No,8
Sonic Underground,age 8+,05-Aug,1999,No,8
The New Woody the Woodpecker Show,age 8+,05-Aug,1999,No,8
Sherlock Holmes in the 22nd Century,age 8+,05-Aug,1999,No,8
"Ed, Edd n Eddy",age 8+,05-Aug,1999,No,8
The Powerpuff Girls,age 8+,05-Aug,1998,No,8
Beast Wars: Transformers,age 8+,05-Aug,1996,No,8
Freakazoid!,age 8+,05-Aug,1995,No,8
Spider-Man,age 8+,05-Aug,1994,No,8
Gargoyles,age 8+,05-Aug,1994,No,8
Fantastic Four,age 8+,05-Aug,1994,No,8
Biker Mice from Mars,age 8+,05-Aug,1993,No,8
Batman: The Animated Series,age 8+,05-Aug,1992,No,8
Jem and the Holograms,age 8+,05-Aug,1985,No,8
Transformers,age 8+,05-Aug,1984,No,8
Dungeons & Dragons,age 8+,05-Aug,1983,No,8
G.I. Joe: A Real American Hero,age 8+,05-Aug,1983,No,8
The Dick Tracy Show,age 8+,05-Aug,1961,No,8
The Mr. Magoo Show,age 8+,05-Aug,1960,No,8
Mr. Peabody & Sherman,age 8+,05-Aug,1959,No,8
Rocky & Bullwinkle,age 8+,05-Aug,1959,No,8
Fright Krewe,age 9+,08-Dec,2023,Yes,9
LEGO DREAMZzz,age 9+,08-Dec,2023,Yes,9
Daniel Spellbound,age 9+,08-Dec,2022,Yes,9
L.O.L. Surprise Winter Fashion Show,age 9+,08-Dec,2022,Yes,9
Oddballs,age 9+,08-Dec,2022,Yes,9
Samurai Rabbit: The Usagi Chronicles,age 9+,08-Dec,2022,Yes,9
Dogs in Space,age 9+,08-Dec,2021,Yes,9
Maya and the Three,age 9+,08-Dec,2021,Yes,9
I Heart Arlo,age 9+,08-Dec,2021,Yes,9
The Last Kids on Earth: Happy Apocalypse to You,age 9+,08-Dec,2021,Yes,9
Miniforce Super Dino Power,age 9+,08-Dec,2021,Yes,9
Jurassic World: Camp Cretaceous,age 9+,08-Dec,2020,Yes,9
Tobot Galaxy Detectives,age 9+,08-Dec,2020,Yes,9
Spirit Riding Free: Riding Academy,age 9+,08-Dec,2020,Yes,9
Fast & Furious: Spy Racers,age 9+,08-Dec,2019,Yes,9
Mixed Nutz,age 9+,08-Dec,2019,Yes,9
Robozuna,age 9+,08-Dec,2018,Yes,9
Summer Camp Island,age 9+,08-Dec,2018,Yes,9
Adventure Time: Elements,age 9+,08-Dec,2017,Yes,9
Trollhunters,age 9+,08-Dec,2016,Yes,9
Fangbone,age 9+,08-Dec,2016,Yes,9
Stakes,age 9+,08-Dec,2015,Yes,9
Pickle & Peanut,age 9+,08-Dec,2015,Yes,9
Lola & Virginia,age 9+,08-Dec,2014,Yes,9
Clarence,age 9+,08-Dec,2014,Yes,9
Packages from Planet X,age 9+,08-Dec,2013,No,9
Sanjay and Craig,age 9+,08-Dec,2013,No,9
The Problem Solverz,age 9+,08-Dec,2013,No,9
Yu-Gi-Oh! Zexal,age 9+,08-Dec,2012,No,9
Randy Cunningham: 9th Grade Ninja,age 9+,08-Dec,2012,No,9
Motorcity,age 9+,08-Dec,2012,No,9
ThunderCats,age 9+,08-Dec,2011,No,9
Deltora Quest,age 9+,08-Dec,2010,No,9
Totally Spies! The Movie,age 9+,08-Dec,2010,No,9
Stoked,age 9+,08-Dec,2009,No,9
Jimmy Two Shoes,age 9+,08-Dec,2009,No,9
Yu-Gi-Oh! 5D's,age 9+,08-Dec,2008,No,9
Blue Dragon,age 9+,08-Dec,2008,No,9
Chop Socky Chooks,age 9+,08-Dec,2008,No,9
Dinosaur King,age 9+,08-Dec,2007,No,9
Yu-Gi-Oh! Capsule Monsters,age 9+,08-Dec,2006,No,9
Bobobo-bo Bo-bobo,age 9+,08-Dec,2005,No,9
Get Ed,age 9+,08-Dec,2005,No,9
Bratz,age 9+,08-Dec,2005,No,9
A.T.O.M.,age 9+,08-Dec,2005,No,9
Hi Hi Puffy AmiYumi,age 9+,08-Dec,2004,No,9
Yu-Gi-Oh! GX,age 9+,08-Dec,2004,No,9
Viewtiful Joe,age 9+,08-Dec,2004,No,9
F-Zero,age 9+,08-Dec,2004,No,9
Xiaolin Showdown,age 9+,08-Dec,2003,No,9
Spider-Man: The New Animated Series,age 9+,08-Dec,2003,No,9
The Grim Adventures of Billy and Mandy,age 9+,08-Dec,2003,No,9
Kaput and Zosky,age 9+,08-Dec,2002,No,9
Yu-Gi-Oh!,age 9+,08-Dec,2001,No,9
The Weekenders,age 9+,08-Dec,2000,No,9
Spider-Man Unlimited,age 9+,08-Dec,1999,No,9
Batman Beyond,age 9+,08-Dec,1999,No,9
The Adventures of Tintin,age 9+,08-Dec,1991,No,9
Star Blazers,age 9+,08-Dec,1979,No,9
Tales of the Jedi,age 10+,08-Dec,2022,Yes,10
Dead End: Paranormal Park,age 10+,08-Dec,2022,Yes,10
The Proud Family: Louder and Prouder,age 10+,08-Dec,2022,Yes,10
Adventure Time: Distant Lands - Wizard City,age 10+,08-Dec,2021,Yes,10
Steven Universe: Future,age 10+,08-Dec,2019,Yes,10
Infinity Train,age 10+,08-Dec,2019,Yes,10
The Dragon Prince,age 10+,08-Dec,2018,Yes,10
Steven Universe: Wanted,age 10+,08-Dec,2017,Yes,10
World of Winx,age 10+,08-Dec,2016,Yes,10
Four and a Half Friends,age 10+,08-Dec,2015,Yes,10
Grojband,age 10+,08-Dec,2013,No,10
Total Drama Revenge of the Island,age 10+,08-Dec,2012,No,10
Adventure Time,age 10+,08-Dec,2010,No,10
Dragon Ball Z Kai,age 10+,08-Dec,2009,No,10
Total Drama Action,age 10+,08-Dec,2009,No,10
Total Drama Island,age 10+,08-Dec,2008,No,10
Zatch Bell!,age 10+,08-Dec,2005,No,10
Trollz,age 10+,08-Dec,2004,No,10
O'Grady,age 10+,08-Dec,2004,No,10
Winx Club,age 10+,08-Dec,2004,No,10
Courage the Cowardly Dog,age 10+,08-Dec,1999,No,10
Men in Black: The Series,age 10+,08-Dec,1997,No,10
Cow and Chicken,age 10+,08-Dec,1997,No,10
Dragon Ball Z,age 10+,08-Dec,1996,No,10
A Tale Dark & Grimm,age 11+,08-Dec,2021,Yes,11
Beware the Batman,age 11+,08-Dec,2013,No,11
Bravest Warriors,age 11+,08-Dec,2012,No,11
Kekkaishi,age 11+,08-Dec,2010,No,11
Generator Rex,age 11+,08-Dec,2010,No,11
One Piece,age 11+,08-Dec,2004,No,11
Dragon Ball GT,age 11+,08-Dec,2003,No,11
Rocko's Modern Life,age 11+,08-Dec,1993,No,11
Adventure Time: Fionna & Cake,age 12+,08-Dec,2023,Yes,12
Dragon Pilot,age 12+,08-Dec,2018,Yes,12
Fairy Tail,age 12+,08-Dec,2011,No,12
Disgaea,age 12+,08-Dec,2006,No,12
The Ren & Stimpy Show,age 12+,08-Dec,1991,No,12
Wait Till Your Father Gets Home,age 12+,08-Dec,1972,No,12
Supernatural Academy,age 13+,Outside,2022,Yes,13
Bee and Puppycat,age 13+,Outside,2013,No,13
Puella Magi Madoka Magica,age 13+,Outside,2012,No,13
6teen,age 13+,Outside,2005,No,13
Ultraman,age 14+,Outside,2019,Yes,14
Sword Art Online,age 14+,Outside,2012,No,14
Aquarion,age 14+,Outside,2009,No,14
Soul Eater,age 15+,Outside,2013,No,15
Robotomy,age 15+,Outside,2010,No,15
Perfect Hair Forever,age 15+,Outside,2004,No,15
